group,client_id,avg_sum
test,1,156.68645070381163
test,2,342.6258588793799
test,3,79.7121195403662
test,4,493.11080684989525
test,5,124.13501581472069
test,6,108.74158132389746
test,7,98.58371887096857
test,8,160.38849967336267
test,9,279.5420881114382
test,10,60.94287511886344
test,11,188.54360096291472
test,12,284.8821272355849
test,13,74.74617118802236
test,14,213.57343888979864
test,15,513.5774590896792
test,16,174.36107202384514
test,17,210.971919110011
test,18,47.68366621057696
test,19,138.56773662949368
test,20,488.78896132231597
test,21,511.6445492098464
test,22,158.1025758126232
test,23,127.20420124810522
test,24,34.47460585698077
test,25,17.885233003912756
test,26,152.84646876057647
test,27,39.880904889682334
test,28,24.71994688702724
test,29,23.622962660409627
test,30,296.51392616177066
test,31,41.26865600013666
test,32,13.701585441438503
test,33,121.59929782418416
test,34,150.9044898695334
test,35,6.3859894256904255
test,36,142.24384337902447
test,37,75.00466606422678
test,38,121.61163403647696
test,39,105.05876863010818
test,40,161.41320588596824
test,41,408.8163463649326
test,42,4.688954180659774
test,43,18.707680162450014
test,44,69.6253668405352
test,45,268.23748589490856
test,46,51.68647410509628
test,47,182.7530892917819
test,48,65.422338808979
test,49,210.05613637376507
test,50,340.7521682524537
test,51,53.860889026579976
test,52,225.47987010810382
test,53,526.3991308448964
test,54,531.4473449652874
test,55,126.24092976434284
test,56,212.33009076031203
test,57,307.2674870407107
test,58,214.0789187957787
test,59,355.9245595798672
test,60,112.34704719995072
test,61,33.131828003420246
test,62,33.51443042941045
test,63,314.1458842950854
test,64,221.25675104159185
test,65,351.8884044814817
test,66,115.38194124631006
test,67,153.69288146369786
test,68,659.3775318517505
test,69,161.48317917986182
test,70,62.19853943254126
test,71,67.29298560477736
test,72,570.6806397665022
test,73,6.095603502336808
test,74,151.4930998719256
test,75,146.53742908540812
test,76,90.77088998856853
test,77,208.46875117588627
test,78,482.62606826677415
test,79,44.61181739788886
test,80,146.85334854085926
test,81,111.08384425559032
test,82,34.622688334264396
test,83,138.88023764789642
test,84,21.654483220879964
test,85,180.77311023412267
test,86,638.3946499875535
test,87,202.12779017158698
test,88,47.604238196823516
test,89,265.1806556323906
test,90,190.61704322791428
test,91,24.98107571635037
test,92,184.75601778058189
test,93,144.3111231599285
test,94,244.10702288969523
test,95,94.63881184130385
test,96,43.81053743678895
test,97,56.29147169469755
test,98,117.37665354853239
test,99,272.97768330972764
test,100,174.35169458572463
test,101,398.853316651989
test,102,368.8611776707923
test,103,698.4537654154846
test,104,128.61873055856708
test,105,56.024122629552565
test,106,2.911767055743796
test,107,131.4811607514444
test,108,464.1805112472847
test,109,58.978503803422115
test,110,256.54827988825144
test,111,347.5331130835018
test,112,35.08931308515078
test,113,461.8000386538707
test,114,42.931451444747616
test,115,254.2679502617417
test,116,144.86916264378507
test,117,85.08223294186152
test,118,240.54072689387505
test,119,67.01378161501563
test,120,76.29589970974081
test,121,295.788803153663
test,122,125.00975531927577
test,123,229.01424536846454
test,124,163.38463188080226
test,125,131.81566383521252
test,126,90.69367418404265
test,127,324.01751888157133
test,128,313.2863670792292
test,129,325.42338690099217
test,130,447.8162025350468
test,131,170.53606920052346
test,132,308.9554899191712
test,133,22.95533066173258
test,134,156.4747788639846
test,135,27.737006718838803
test,136,0.2775842129723264
test,137,30.553519712825853
test,138,50.322466763928745
test,139,11.404735905071881
test,140,35.59696110232154
test,141,81.4939290236153
test,142,19.031106047008848
test,143,23.40914647924423
test,144,23.65994151633951
test,145,240.25073413310133
test,146,332.5573118351324
test,147,137.17129711050828
test,148,6.34003261907028
test,149,74.04790837189356
test,150,238.89349064684382
test,151,33.644634185494006
test,152,196.67482741205873
test,153,10.404386899938764
test,154,265.208611400838
test,155,357.36416875514186
test,156,155.4860525189824
test,157,186.77669266879278
test,158,94.56605122907145
test,159,41.74276915418641
test,160,103.90315015394664
test,161,151.34649813622758
test,162,89.72535348713537
test,163,182.3809451814607
test,164,202.75197433440763
test,165,88.53771856156489
test,166,754.8164577901579
test,167,63.13359544664189
test,168,43.984889798969014
test,169,88.17836910127247
test,170,137.8361824027106
test,171,266.0166747724984
test,172,534.9498980256608
test,173,191.64930561453727
test,174,108.40648932488027
test,175,481.195889897621
test,176,1030.1596116548562
test,177,19.864416367193673
test,178,233.29295336968124
test,179,388.3713500380889
test,180,512.7634174326288
test,181,181.47552718041635
test,182,4.092743222598203
test,183,3.210034785219383
test,184,478.7694122425752
test,185,64.4601896992567
test,186,120.73448329352945
test,187,118.71260157523643
